intervention_every,mean_tree_cover,min_tree_cover
1,0.1633185,0.148
1,0.162872125,0.14725
1,0.16318712500000002,0.13891666666666666
1,0.16241320833333334,0.14133333333333334
1,0.16111508333333335,0.1445
2,0.18852458333333333,0.17533333333333334
2,0.18907441666666666,0.17141666666666666
2,0.18993945833333334,0.17041666666666666
2,0.188094375,0.16508333333333333
2,0.1902964166666667,0.16125
3,0.20256488422455438,0.17758333333333334
3,0.20333658170914543,0.18216666666666667
3,0.20296143594869231,0.16925
3,0.19986935698817257,0.17641666666666667
3,0.2015672163918041,0.1765
4,0.20867008333333334,0.17533333333333334
4,0.20758654166666668,0.1765
4,0.21037849999999997,0.18916666666666668
4,0.20794358333333332,0.17691666666666667
4,0.20790383333333332,0.18616666666666667
5,0.21351850000000003,0.19166666666666668
5,0.21508358333333333,0.19408333333333333
5,0.21519295833333335,0.18908333333333333
5,0.21332875,0.18925
5,0.21892179166666664,0.19308333333333333
7,0.22224117549117547,0.18925
7,0.2206757409257409,0.19108333333333333
7,0.22269164169164168,0.18666666666666668
7,0.22317149517149518,0.18675
7,0.2199999583749584,0.18066666666666667
